permno,date,prc,ret,ticker
10107,2016-06-06,52.13,0.006565,MSFT
10107,2016-06-07,52.1,-0.000576,MSFT
10107,2016-06-08,52.04,-0.001152,MSFT
10107,2016-06-09,51.62,-0.008071,MSFT
10107,2016-06-10,51.48,-0.002712,MSFT
10107,2016-06-13,50.14,-0.02603,MSFT
10107,2016-06-14,49.83,-0.006183,MSFT
10107,2016-06-15,49.69,-0.00281,MSFT
10107,2016-06-16,50.39,0.014087,MSFT
10107,2016-06-17,50.13,-0.00516,MSFT
10107,2016-06-20,50.07,-0.001197,MSFT
12742,2016-06-06,135.7,0.004664,LNKD
12742,2016-06-06,135.7,0.004664,LNKD
12742,2016-06-07,133.7,-0.014738,LNKD
12742,2016-06-07,133.7,-0.014738,LNKD
12742,2016-06-08,133.85001,0.001122,LNKD
12742,2016-06-08,133.85001,0.001122,LNKD
12742,2016-06-09,136.52,0.019948,LNKD
12742,2016-06-09,136.52,0.019948,LNKD
12742,2016-06-10,131.08,-0.039848,LNKD
12742,2016-06-10,131.08,-0.039848,LNKD
12742,2016-06-13,192.21001,0.466356,LNKD
12742,2016-06-13,192.21001,0.466356,LNKD
12742,2016-06-14,191.63,-0.003018,LNKD
12742,2016-06-14,191.63,-0.003018,LNKD
12742,2016-06-15,191.28999,-0.001774,LNKD
12742,2016-06-15,191.28999,-0.001774,LNKD
12742,2016-06-16,191.33,0.000209,LNKD
12742,2016-06-16,191.33,0.000209,LNKD
12742,2016-06-17,190.8,-0.00277,LNKD
12742,2016-06-17,190.8,-0.00277,LNKD
12742,2016-06-20,190.81,5.2e-05,LNKD
12742,2016-06-20,190.81,5.2e-05,LNKD
