gvkey,datadate,fyear,tic,at,lt,ceq,revt,cogs,xsga,ebit,oibdp,ni,sale,capx,dp,act,lct
012141,2011-06-30,2011,MSFT,108704.0,51621.0,57083.0,69943.0,13040.0,27205.0,27161.0,29698.0,23150.0,69943.0,2355.0,2537.0,74918.0,28774.0
186342,2011-12-31,2011,LNKD,873.697,248.718,624.979,522.189,81.448,371.796,25.845,68.945,11.912,522.189,88.978,43.1,725.927,226.659
012141,2012-06-30,2012,MSFT,121271.0,54908.0,66363.0,73723.0,14772.0,28237.0,27956.0,30714.0,16978.0,73723.0,2305.0,2758.0,85084.0,32688.0
186342,2012-12-31,2012,LNKD,1382.33,473.906,908.424,972.309,125.521,710.077,56.862,136.711,21.61,972.309,125.42,79.849,1018.797,415.379
012141,2013-06-30,2013,MSFT,142431.0,63487.0,78944.0,77849.0,16910.0,30103.0,27497.0,30836.0,21863.0,77849.0,4257.0,3339.0,101466.0,37417.0
186342,2013-12-31,2013,LNKD,3352.793,718.399,2629.394,1528.545,202.908,1143.309,47.812,182.328,26.769,1528.545,278.019,134.516,2755.47,641.991
012141,2014-06-30,2014,MSFT,172384.0,82600.0,89784.0,86451.0,22689.0,32013.0,27504.0,31749.0,22074.0,86451.0,5485.0,4245.0,114246.0,45625.0
186342,2014-12-31,2014,LNKD,5427.257,2096.438,3325.392,2218.767,293.797,1651.889,36.135,273.081,-15.747,2218.767,547.633,236.946,4122.1,882.785
012141,2015-06-30,2015,MSFT,176223.0,96140.0,80083.0,93580.0,27638.0,32370.0,28172.0,33572.0,12193.0,93580.0,5944.0,5400.0,124712.0,49858.0
186342,2015-12-31,2015,LNKD,7011.199,2515.746,4468.643,2990.911,418.858,2273.423,-121.842,298.63,-166.144,2990.911,507.246,420.472,3935.089,1188.084
012141,2016-06-30,2016,MSFT,193694.0,121697.0,71997.0,85320.0,26902.0,31248.0,21292.0,27170.0,16798.0,85320.0,8343.0,5878.0,139660.0,59357.0
012141,2017-06-30,2017,MSFT,241086.0,168692.0,72394.0,89950.0,26461.0,33057.0,22632.0,30432.0,21204.0,89950.0,8129.0,7800.0,159851.0,64527.0
012141,2018-06-30,2018,MSFT,258848.0,176130.0,82718.0,110360.0,28453.0,36949.0,35058.0,44958.0,16571.0,110360.0,11632.0,9900.0,169662.0,58488.0
012141,2019-06-30,2019,MSFT,286556.0,184226.0,102330.0,125843.0,31310.0,39974.0,42959.0,54559.0,39240.0,125843.0,13925.0,11600.0,175552.0,69420.0
012141,2020-06-30,2020,MSFT,301311.0,183007.0,118304.0,143015.0,33778.0,43978.0,52959.0,65259.0,44281.0,143015.0,15441.0,12300.0,181915.0,72310.0
